"Pais","Region","Superficie_km2","Poblacion_Miles_2017","Poblacion_Denskm2_2017.","SexoProporcionMpor100F_2017.","PIB_millonesUSD","PIB_crecimientoAnual","PIB_PerCapita","Economia_PorcentajeAgricola","Economia_PorcentajeIndustria","Empleados_PorcentajeAgricola","Empleados_PorcentajeIndustria","Desempleo_PorcentajePob","IndiceProduccionAgricola","IndiceProducionAlimentaria","ComercioIntExportacion_millonesUSD","ComercioIntImportacion_millonesUSD","CrecimientoPoblacion_TasaAnual","PoblacionUrbana_Porcentaje","CrecimientoPobUrbana_TasaAnual","TasaFertilidac_NacVivosMujer","MortalidadInfantil_porMilNac","GastoSalud_PIB","medicos_porMilpoblacion","GastoEducacion_PIB","participacionLaboralFem","participacionLaboralMasc","EducPrimariaTasaFem","EducPrimariaTasaMasc","EducSecundariaTasaFem","EducSecundariaTasaMasc","EducTerciariaTasaFem","EducTerciariaTasaMasc","AccesoAguaMejorPobUrbana","AccesoAguaMejorPobRural","EsperanzaVidaFem","EsperanzaVidaMasc","PorcentPoblacionJoven","PorcentPoblacionVieja","MigracionNum","MigracionPorcentaje"
"Tajikistan","CentralAsia",142600,8921,63.7,100.9,7853,4.2,925.9,25,28,57.2,13.4,10.8,155,172,899,3030,2.2,26.8,2.6,3.5,38.9,6.9,1.7,5.2,59.6,77.9,101.2,99.8,83.1,92.5,5.2,0.6,93.8,95.5,73.5,67.7,35.3,5.8,275.1,3.2
"Thailand","South-easternAsia",513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,34,22.7,0.6,129,126,213927,195666,0.4,50.4,3,1.5,11.2,4.1,NA,4.1,62.7,79.8,99.2,106.1,125.3,132.6,316.2,4.7,89.9,96.1,78.4,70.8,17.3,16.9,3913.3,5.8
"The former Yugoslav Republic of Macedonia","SouthernEurope",25713,2083,82.6,100,10052,3.8,4836.1,12,27.9,16.2,29.2,27.3,111,112,4785,6757,0.1,57.1,0.1,1.5,9,6.5,2.8,NA,43.9,67.8,92.8,93.6,78.2,80.3,7.5,3.6,97.2,82.6,77.2,73.2,16.7,19.5,130.7,6.3
"Timor-Leste","South-easternAsia",14919,1296,87.2,103.2,2873,4.3,2425.4,5.2,79.9,50.8,2,4.3,111,117,94,647,2.2,32.8,3.8,5.9,43.9,1.5,0.1,7.8,26.9,55.6,136.2,137.5,79.6,74.1,0.5,0.4,69,26.8,69.5,66.1,43.6,5.4,10.8,0.9
"Togo","WesternAfrica",56785,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,62.5,8.7,6.8,140,143,715,1716,2.6,40,3.8,4.7,55.7,5.2,NA,5.2,81,80.7,118.5,125.1,NA,NA,2.6,0.4,24.7,2.9,59.8,58.3,41.6,4.6,276.8,3.8
"Tokelau","Polynesia",12,1,130,100,-99,-99,-99,-99,-99,-99,-99,-99,112,112,NA,1,1.9,0,0,2.1,-99,-99,-99,-99,-99,NA,114.3,121,120.7,129.1,-99,NA,NA,90.5,-99,NA,28.3,12.2,0.5,39
"Tonga","Polynesia",747,108,150,100.7,402,3.8,3784.5,22.4,21.5,33.3,28.2,4.8,134,134,14,209,0.4,23.7,0.7,3.8,20.6,5.2,NA,NA,52.9,73.9,107.5,108.6,94.2,86.4,0.1,1.1,97.6,89,75.6,69.6,35.8,8.5,5.7,5.4
"Trinidad and Tobago","Caribbean",5127,1369,266.9,97.1,25927,0.2,19062.9,0.5,42.5,4.1,31.6,4.2,95,95,4576,4826,0.5,8.4,-1.2,1.8,24.8,5.9,NA,NA,52.4,73.2,NA,NA,NA,NA,46.3,34.2,91.5,91.5,73.8,66.9,20.7,15,49.9,3.7
"Tunisia","NorthernAfrica",163610,11532,74.2,97.6,41199,0.8,3660.9,10.3,27.8,11.7,29.4,14.6,108,108,13483,19456,1.2,66.8,1.4,2.3,18.5,7,1.6,6.3,25.1,71.3,112.5,115.8,94.2,90,28.8,2.6,97.4,79.8,77.1,73,24,12.3,56.7,0.5
"Turkey","WesternAsia",783562,80745,104.9,97,717888,4,9125.8,8.6,26.4,19.6,27.5,10.8,120,122,142606,198602,1.6,73.4,2,2.1,12.6,5.4,1.7,4.8,30.4,71.4,102.1,102.8,101.1,103.8,346,4.5,98.3,85.5,78.1,71.5,25,12,2964.9,3.8
"Turkmenistan","CentralAsia",488100,5758,12.3,97,37597,6.5,6996.7,13.4,51,17.9,37.4,8.6,103,109,3741,2616,1.8,50,1.9,3,46.9,2.1,2.3,3.1,47.3,77.7,88.6,90.1,83.7,86.9,68.4,12.9,NA,NA,70.8,63.9,30.9,7.3,196.4,3.7
"Turks and Caicos Islands","Caribbean",948,35,37.3,104.1,863,4.1,25121.8,0.6,10.4,NA,NA,NA,-99,-99,4,389,2,92.2,2.5,-99,-99,-99,-99,3.3,-99,NA,-99,NA,-99,NA,0.2,6.1,NA,NA,77.8,75.8,19.2,7.6,11.7,34
"Tuvalu","Polynesia",26,11,373.1,102,33,3.5,3362.4,26,7.6,-99,-99,NA,110,110,NA,12,0.9,59.7,1.9,3.6,NA,16.5,NA,-99,NA,NA,104.3,103,97.5,76,NA,NA,86.3,80.2,NA,NA,31.1,9.9,0.1,1.4
"Uganda","EasternAfrica",241550,42863,214.5,99,25282,5.4,647.7,25.6,21.5,72,7.4,2.4,93,90,2755,3750,3.4,16.1,5.4,5.9,60.2,7.2,NA,2.2,82.3,87.7,110.9,108.9,22.1,24.3,5.2,0.1,28.5,17.3,60.7,56.5,47.7,3.3,749.5,1.9
"Ukraine","EasternEurope",603500,44223,76.3,86,90615,-9.9,2021.6,14,26.3,15.7,24.6,8.8,137,137,36369,39184,-0.5,69.7,-0.3,1.5,8.8,7.1,3,5.9,52.3,67.5,105.1,102.8,98.2,100.2,227.3,5.1,97.4,92.6,76,66.1,15.5,23.2,4834.9,10.8
"United Arab Emirates","WesternAsia",83600,9400,112.4,262.4,370296,3.8,40438.8,0.7,44.9,3.5,21.1,3.7,70,70,195613,201908,2,85.5,2.9,1.8,6.2,3.6,1.6,-99,41.7,90.8,116,116.7,-99,NA,211.4,23.2,98,95.2,78.2,76,13.9,2.4,8095.1,88.4
"United Kingdom","NorthernEurope",242495,66182,273.6,97.4,2858003,2.2,44162.4,0.7,19.4,1.2,18.4,5,108,108,415856,635570,0.6,82.6,0.9,1.9,4.1,9.1,2.8,5.7,57,68.6,108.1,108.4,130.4,125.3,419.8,6.5,99.1,99.6,82.8,79,17.7,23.9,8543.1,13.2
"United Republic of Tanzania","EasternAfrica",947303,57310,64.7,97.8,45628,7,877.3,31.1,26.1,66.9,6.4,2.7,176,180,4742,7876,3.1,31.6,5.4,5.2,44,5.6,NA,3.5,73.9,83.2,82.9,80.5,30.8,33.7,11.6,0.2,31.3,8.3,64.8,60.8,44.9,4.7,261.2,0.5
"United States of America","NorthernAmerica",9833517,324460,35.5,98,18036648,2.6,56053.8,1,19.7,1.5,17.2,4.9,111,113,1453167,2249661,0.7,81.6,1,1.9,6,17.1,2.6,5.4,55.7,68.1,100,100.3,98.5,96.7,5254.3,16.2,100,100,81.2,76.5,18.9,21.5,46627.1,14.5
"United States Virgin Islands","Caribbean",347,105,299.7,91.1,-99,-99,-99,-99,-99,10.9,24,9,109,109,-99,-99,-0.2,95.3,0.3,2.3,9.3,-99,-99,-99,52.5,70.7,-99,NA,-99,NA,-99,NA,96.4,96.4,81.5,76.7,20.1,25.3,56.7,53.4
"Uruguay","SouthAmerica",173626,3457,19.8,93.5,53442,1,15573.8,6.8,28,8.7,20.5,8.8,129,130,6964,8137,0.3,95.3,0.5,2,12.7,8.6,NA,4.4,55.6,76.3,107.3,109.8,100,90.3,6.7,2,96.6,92.6,80.4,73.2,21.1,19.5,71.8,2.1
"Uzbekistan","CentralAsia",448969,31911,75,99.4,69004,6.8,2308.3,19.2,32.9,29,23.9,8.9,158,174,27947,25652,1.6,36.4,1.4,2.4,31.3,5.8,2.5,-99,48.5,76.6,103.2,105.6,95.1,96.8,105.2,3.6,100,100,73.5,68.1,28,7.6,1170.9,3.9
"Vanuatu","Melanesia",12189,276,22.7,102.4,737,-1,2783,26.7,8.4,61.4,6.8,5.3,123,122,50,416,2.3,26.1,3.4,3.4,24.3,5,0.2,5.5,61.7,80.5,118.7,120.6,56.4,53.4,0.2,0.6,65.1,55.4,73.6,69.4,35.9,6.7,3.2,1.2
"Venezuela (Bolivarian Republic of)","SouthAmerica",912050,31977,36.3,99,344331,-6.2,11068.9,5.3,44.7,11.9,26.8,6.6,118,119,19731,16324,1.4,89,1.5,2.4,13.8,5.3,NA,NA,51.5,78.3,98.6,101.3,93,86.5,185.2,6.1,97.5,69.9,78.2,69.9,27.6,9.9,1404.4,4.5
"Viet Nam","South-easternAsia",330967,95541,308.1,98,193241,6.7,2067.9,18.9,37,41.8,22.9,2.2,136,134,176632,174111,1.1,33.6,3,2,19.3,7.1,1.2,5.7,73.9,83.3,108.4,109.3,-99,NA,166.9,1.8,94.4,69.7,80.3,70.7,23.1,11.1,72.8,0.1
"Wallis and Futuna Islands","Polynesia",142,12,84.1,93.4,-99,-99,-99,-99,-99,-99,-99,-99,115,115,1,53,-2.1,0,0,2.1,NA,-99,-99,-99,-99,NA,-99,NA,-99,NA,NA,1.6,-99,NA,78.7,72.8,25.5,15.4,2.8,21.7
"Western Sahara","NorthernAfrica",266000,553,2.1,110.1,-99,-99,-99,-99,-99,37.4,27.9,6.8,100,100,-99,-99,1.8,80.9,3.3,2.6,34.1,-99,-99,-99,28.6,83.3,-99,NA,-99,NA,-99,NA,-99,NA,70.3,66.9,28.1,5.4,5.2,0.9
"Yemen","WesternAsia",527968,28250,53.5,102.1,29688,-28.1,1106.4,14.7,36.9,32.9,17.9,16.1,136,137,570,6861,2.6,34.6,4,4.4,47.2,5.6,0.3,NA,26.2,73.7,88.9,105.7,39.5,57.4,22.7,0.9,92.5,34.1,65.6,62.8,39.9,4.6,344.1,1.3
"Zambia","EasternAfrica",752612,17094,23,98.5,21255,2.9,1311.1,8.2,32.3,54.8,9.9,7.4,179,180,6505,7442,3,40.9,4.3,5.2,53.8,5,0.2,NA,69.9,80.9,104,103.3,-99,NA,4.5,0.3,55.6,35.7,61.9,57.5,44.8,3.7,127.9,0.8
"Zimbabwe","EasternAfrica",390757,16530,42.7,95,13893,1.1,890.4,13,30.5,67.5,7.3,5,99,98,2832,5212,2.3,32.4,2.3,4,46.5,6,0.1,8.4,78,87.5,99.1,100.8,47.1,48.1,12,0.8,49.3,30.8,59,56.1,41.2,4.2,398.9,2.6
