"Pais","Region","Superficie_km2","Poblacion_Miles_2017","Poblacion_Denskm2_2017.","SexoProporcionMpor100F_2017.","PIB_millonesUSD","PIB_crecimientoAnual","PIB_PerCapita","Economia_PorcentajeAgricola","Economia_PorcentajeIndustria","Empleados_PorcentajeAgricola","Empleados_PorcentajeIndustria","Desempleo_PorcentajePob","IndiceProduccionAgricola","IndiceProducionAlimentaria","ComercioIntExportacion_millonesUSD","ComercioIntImportacion_millonesUSD","CrecimientoPoblacion_TasaAnual","PoblacionUrbana_Porcentaje","CrecimientoPobUrbana_TasaAnual","TasaFertilidac_NacVivosMujer","MortalidadInfantil_porMilNac","GastoSalud_PIB","medicos_porMilpoblacion","GastoEducacion_PIB","participacionLaboralFem","participacionLaboralMasc","EducPrimariaTasaFem","EducPrimariaTasaMasc","EducSecundariaTasaFem","EducSecundariaTasaMasc","EducTerciariaTasaFem","EducTerciariaTasaMasc","AccesoAguaMejorPobUrbana","AccesoAguaMejorPobRural","EsperanzaVidaFem","EsperanzaVidaMasc","PorcentPoblacionJoven","PorcentPoblacionVieja","MigracionNum","MigracionPorcentaje"
"Finland","NorthernEurope",338440,5523,18.2,97.2,231960,0.2,42148.1,2.5,26.8,4.2,22,8.9,101,101,57326,60502,0.4,84.2,0.5,1.8,2.3,9.7,3,7.2,54.5,61.7,101.4,101.7,156.3,142.8,47.3,8.6,99.4,88,83.7,77.7,16.4,27.8,315.9,5.7
"France","WesternEurope",551500,64980,118.7,96.7,2418946,1.3,36304.2,1.7,19.5,2.7,20.5,9.8,103,103,488885,560555,0.4,79.5,0.8,2,3.4,11.5,3.2,5.5,50.3,59.4,105,105.7,111.2,110.1,303.3,4.7,98.6,98.9,85,78.8,18.1,25.7,7784.4,12.1
"French Guiana","SouthAmerica",83534,283,3.4,100,-99,-99,-99,-99,-99,-99,14.9,21.3,120,120,-99,-99,2.8,84.4,2.8,3.5,9.3,-99,-99,-99,48.4,58.8,-99,NA,-99,NA,0.7,2.8,94.9,75.8,82.6,76.1,33.2,8.4,106.1,39.5
"French Polynesia","Polynesia",4000,283,77.3,103.7,5135,1.6,18161,2.8,11.9,8.9,16.9,17,98,98,173,1491,0.7,55.9,0.9,2.1,6.9,-99,-99,-99,46.4,63,-99,NA,-99,NA,0.8,2.9,98.5,98.5,78.6,74,23.3,11.9,30.1,10.6
"Gabon","MiddleAfrica",267668,2025,7.9,105.6,13735,3.9,7960.7,3.8,54.5,16.2,19.1,18.1,97,92,2851,2930,3.3,87.2,2.7,4,40.8,3.4,NA,2.7,40.7,58.3,139.9,144,-99,NA,5.2,3.1,43.4,31.5,65.8,63.1,35.9,6.4,268.4,15.6
"Gambia","WesternAfrica",11295,2101,207.6,98,942,4.7,473.2,21.1,14.9,30.4,14.4,29.7,82,82,32,471,3.1,59.6,4.3,5.6,49.8,7.3,NA,2.8,72.2,82.6,96.8,90.1,NA,NA,0.5,0.3,61.5,55,61.6,59.1,45.3,3.8,192.5,9.7
"Georgia","WesternAsia",69700,3912,56.3,91.4,13965,2.8,3491.4,9,24.1,44.7,11.2,11.4,85,86,2114,7236,-1.4,53.6,-0.1,2,11.2,7.4,4.8,2,57.9,79,118.2,115.5,103.8,103.6,9,2.2,95.2,75.9,77,68.5,19.2,20.8,168.8,4.2
"Germany","WesternEurope",357376,82114,235.6,97,3363600,1.7,41686.2,0.6,30.5,1.4,27.5,4.2,111,111,1340752,1060672,0.2,75.3,0.2,1.4,3.4,11.3,4.1,5,54.5,66.1,104.7,105.2,99.6,105.6,719.9,8.9,99.3,99,82.9,77.9,13.1,28,12005.7,14.9
"Ghana","WesternAfrica",238537,28834,126.7,99.3,37156,3.9,1355.6,19,26.9,41.9,14.2,5.9,144,144,7221,11939,2.4,54,3.4,4.2,46.5,3.6,NA,6.2,75.7,78.8,108.7,107.3,61.1,63.1,14.5,0.6,20.2,8.6,62.6,60.7,38.5,5.3,399.5,1.5
"Gibraltar","SouthernEurope",6,35,3457.1,101.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,234,533,0.6,100,0.1,-99,-99,-99,-99,-99,NA,NA,-99,NA,-99,NA,0.5,16.5,-99,NA,NA,NA,18.1,22.4,11.1,34.3
